product_id,date,store_id,current_stock,daily_demand,lead_time_days,supplier_reliability_score,promotion_active,weather_impact,stockout_risk
P1000,2024-01-01,S7,213,114,5,72,No,Medium,No
P1001,2024-01-02,S20,152,87,7,84,No,High,Yes
P1002,2024-01-03,S15,209,62,10,61,No,Low,No
P1003,2024-01-04,S11,400,103,10,61,No,Low,No
P1004,2024-01-05,S8,60,114,9,75,No,Medium,No
P1005,2024-01-06,S7,267,108,13,68,No,Medium,No
P1006,2024-01-07,S19,261,60,7,87,No,Medium,No
P1007,2024-01-08,S11,217,32,5,72,No,Low,Yes
P1008,2024-01-09,S11,282,5,10,94,No,Medium,No
P1009,2024-01-10,S4,135,46,10,72,Yes,High,No
P1010,2024-01-11,S8,466,86,10,90,No,Low,Yes
P1011,2024-01-12,S3,379,52,6,80,No,Medium,No
P1012,2024-01-13,S2,361,44,11,91,No,High,Yes
P1013,2024-01-14,S12,448,101,12,93,Yes,High,No
P1014,2024-01-15,S6,440,67,3,67,No,Medium,Yes
P1015,2024-01-16,S2,92,80,5,61,No,High,No
P1016,2024-01-17,S1,108,76,8,97,No,Low,No
P1017,2024-01-18,S12,240,92,1,91,No,Low,No
P1018,2024-01-19,S12,354,84,12,99,No,High,No
P1019,2024-01-20,S17,423,118,1,87,No,Low,No
P1020,2024-01-21,S10,141,8,7,96,No,Medium,No
P1021,2024-01-22,S16,290,42,14,60,No,High,No
P1022,2024-01-23,S15,431,112,5,69,Yes,Low,No
P1023,2024-01-24,S15,236,31,14,63,Yes,Medium,Yes
P1024,2024-01-25,S19,339,13,5,94,No,Medium,No
P1025,2024-01-26,S12,311,115,1,69,No,Low,No
P1026,2024-01-27,S20,176,20,9,70,No,High,No
P1027,2024-01-28,S3,140,60,1,73,Yes,Medium,Yes
P1028,2024-01-29,S5,188,80,5,97,No,Medium,No
P1029,2024-01-30,S19,485,35,10,71,No,Medium,Yes
P1030,2024-01-31,S7,48,92,9,76,Yes,Medium,No
P1031,2024-02-01,S9,301,18,14,75,No,High,No
P1032,2024-02-02,S7,368,113,4,94,No,Low,No
P1033,2024-02-03,S18,189,29,13,61,No,Low,No
P1034,2024-02-04,S4,135,38,8,70,Yes,Low,No
P1035,2024-02-05,S14,42,71,6,62,No,Medium,Yes
